author,category,Year of publishing,grade,institution,isbn,lang,link,pages,pages_displayed,price,char_len_ref,subject,tags,text_len,title
Nadin Mau (Autor:in),Hausarbeit,2002,"1,5",none,9783640046003,de,https://www.hausarbeiten.de/document/106321,20,20 von 20 Seiten X- nach oben,Kostenlos,2034,Germanistik - Linguistik, Grimm`sches Wörterbuch ,41623,Grimm`sches Wörterbuch
Matthias Mohn (Autor:in),Seminararbeit,2000,gut,Universität Duisburg-Essen,9783640044993,de,https://www.hausarbeiten.de/document/106220,11,11 von 11 Seiten X- nach oben,Kostenlos,582,Germanistik - Neuere Deutsche Literatur, Wenn Bilder Mund Texte Augen Proseminar ,14595,Wenn Bilder den Mund und Texte die Augen aufmachen.
Matthias Vorhauer (Autor:in),Hausarbeit (Hauptseminar),2001,1-2,Technische Universität Dresden,9783640045020,de,https://www.hausarbeiten.de/document/106223,17,17 von 17 Seiten X- nach oben,Kostenlos,130,Germanistik - Neuere Deutsche Literatur, Wahrheit Lüge Gesellschaftstheorie Günther Anders Katakombe Hauptseminar Halykonien Erzählte Unter-Welten Jahrhundert ,37035,"Wahrheit und Lüge: Gesellschaftstheorie und -kritik in Günther Anders' oman ""die molussische Katakombe"""
Diana Riege (Autor:in),Hausarbeit (Hauptseminar),2000,none,Martin-Luther-Universität Halle-Wittenberg,9783640045068,de,https://www.hausarbeiten.de/document/106227,11,11 von 11 Seiten X- nach oben,Kostenlos,775,Germanistik - Neuere Deutsche Literatur, Scheitern Hauke Haiens Theodor Storms Schimmelreiter ,18677,Über das Scheitern Hauke Haiens in Theodor Storms Schimmelreiter
Britta Lühr (Autor:in),Seminararbeit,2002,1-,Universität zu Köln,9783640045099,de,https://www.hausarbeiten.de/document/106230,15,15 von 15 Seiten X- nach oben,Kostenlos,716,Germanistik - Linguistik, Aphasische Sprachstörungen Proseminar Sprachwissenschaft ,29722,Aphasische Sprachstörungen
Karin Becker (Autor:in),Hausarbeit,2001,"1,0",Freie Universität Berlin,9783640045129,de,https://www.hausarbeiten.de/document/106233,34,34 von 34 Seiten X- nach oben,Kostenlos,755,Germanistik - Linguistik, Labern Code Universität ,57664,"""Labern"" als sprachlicher Code der Universität"
Marco Söte (Autor:in),Seminararbeit,2002,2+,Westfälische Wilhelms-Universität Münster,9783640042951,de,https://www.hausarbeiten.de/document/106016,19,19 von 19 Seiten X- nach oben,Kostenlos,1110,Germanistik - Neuere Deutsche Literatur, Mehrheit Unsinn ,38875,Mehrheit ist der Unsinn
Marco Söte (Autor:in),Seminararbeit,1997,2,Westfälische Wilhelms-Universität Münster,9783640042968,de,https://www.hausarbeiten.de/document/106017,23,23 von 23 Seiten X- nach oben,Kostenlos,1351,Germanistik - Sonstiges, Gute Gründe Internalismus Extrenalismus Fichtes Handlungstheorie ,50108,Gute Gründe - Internalismus und Extrenalismus in Fichtes Handlungstheorie
Marion Klamt (Autor:in),Seminararbeit,2001,none,Albert-Ludwigs-Universität Freiburg,9783640042975,de,https://www.hausarbeiten.de/document/106018,12,12 von 12 Seiten X- nach oben,Kostenlos,611,Germanistik - Neuere Deutsche Literatur, Pakt Wette Faust ,22643,Der Pakt und die Wette in Faust I
Nadine Strotmann (Autor:in),Seminararbeit,2001,2.0,Heinrich-Heine-Universität Düsseldorf,9783640041671,de,https://www.hausarbeiten.de/document/105888,20,19 von 20 Seiten X- nach oben,Kostenlos,605,Germanistik - Neuere Deutsche Literatur, Goethes Prometheus Sturm Drang Sturm Drang Thema Sturm und Drang ,35551,Goethes Prometheus und der Sturm und Drang
Nadine Strotmann (Autor:in),Hausarbeit,2001,2.3,Heinrich-Heine-Universität Düsseldorf,9783640041688,de,https://www.hausarbeiten.de/document/105889,22,22 von 22 Seiten X- nach oben,Kostenlos,835,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Buchmalerei Text Mittelalters ,35804,Buchmalerei und Text des Mittelalters
Gunnar Esser (Autor:in),Hausarbeit (Hauptseminar),1999,"1,0",Universität zu Köln,9783640040841,de,https://www.hausarbeiten.de/document/105803,23,23 von 23 Seiten X- nach oben,Kostenlos,1201,Germanistik - Neuere Deutsche Literatur, Rilkes Aufzeichnungen Malte Laurids Brigge Baudelaires Fleurs Rilke Literatur ,48889,"Rilkes ""Aufzeichnungen des Malte Laurids Brigge"" und Baudelaires ""Fleurs du Mal"""
Gunnar Esser (Autor:in),Hausarbeit (Hauptseminar),1998,"2,3",Universität zu Köln,9783640040865,de,https://www.hausarbeiten.de/document/105805,37,37 von 37 Seiten X- nach oben,Kostenlos,6838,Germanistik - Neuere Deutsche Literatur, Literatur Zauberspiegel Frau Dichtung Romantik Geschichte) ,79267,"Literatur als ""Zauberspiegel"""
Micaela Dück (Autor:in),Hausarbeit,1999,"1,7",Universität zu Köln,9783640040124,de,https://www.hausarbeiten.de/document/105728,21,21 von 21 Seiten X- nach oben,Kostenlos,2010,Germanistik - Neuere Deutsche Literatur, Grimm Gebrüder Brüderchen Schwesterchen Märchen Kindheitsbilder Volks- Kunstmärchen Romantik ,36557,"Grimm, Gebrüder - Brüderchen und Schwesterchen - ein Märchen?"
Daniel Schäbler (Autor:in),Seminararbeit,2001,2+,Christian-Albrechts-Universität Kiel,9783640040131,de,https://www.hausarbeiten.de/document/105729,15,15 von 15 Seiten X- nach oben,Kostenlos,313,Germanistik - Neuere Deutsche Literatur, Ransmayrs Christian Schrecken Eises Finsternis Erzähler Filter Wirklichkeit Vielstimmigkeit Fakten Fiktion Erzählen Literatur Film ,34592,"Ransmayrs, Christian - Die Schrecken des Eises und der Finsternis - Der Erzähler als Filter der Wirklichkeit: Vielstimmigkeit, Fakten und Fiktion"
Nicole Firzlaff (Autor:in),Seminararbeit,2001,"1,5",Albert-Ludwigs-Universität Freiburg,9783640039265,de,https://www.hausarbeiten.de/document/105640,10,10 von 10 Seiten X- nach oben,Kostenlos,1242,Germanistik - Neuere Deutsche Literatur, Konzeption Dramas Romantik Realisation Ludwig Tiecks Gestiefeltem Kater Einführung Studium Literatur ,19508,"Die Konzeption des Dramas in der deutschen Romantik und ihre Realisation in Ludwig Tiecks ""Gestiefeltem Kater"""
Silke Köhler (Autor:in),Seminararbeit,2001,1,Technische Universität Darmstadt,9783640037483,de,https://www.hausarbeiten.de/document/105454,25,25 von 25 Seiten X- nach oben,Kostenlos,535,Germanistik - Linguistik, Intentionalität Basis Sprechakte ,57907,Intentionalität als Basis für Sprechakte
Felix Pfeiffer (Autor:in),Seminararbeit,2001,"1,0",Ludwig-Maximilians-Universität München,9783640037490,de,https://www.hausarbeiten.de/document/105455,27,27 von 27 Seiten X- nach oben,Kostenlos,2244,Germanistik - Linguistik, George Lakoffs Theorie Metaphernbegriff Hauptseminar Cognitive Linguistics ,67851,George Lakoffs kognitive Theorie (1987) und sein Metaphernbegriff
Martin Schindler (Autor:in),Seminararbeit,2001,none,Ludwig-Maximilians-Universität München,9783640037506,de,https://www.hausarbeiten.de/document/105456,19,19 von 19 Seiten X- nach oben,Kostenlos,1423,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Hartmann Gregorius ,30202,Hartmann von Aue: Gregorius
Thomas Lornsen (Autor:in),Seminararbeit,2000,"1,0",Universität Mannheim,9783640036233,de,https://www.hausarbeiten.de/document/105327,21,21 von 21 Seiten X- nach oben,Kostenlos,2527,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Deutsche Terminologie Bergbau- Hüttenwesens Mittelalter Neuzeit Deutsche Fachsprachen Mittelalters Neuzeit ,39208,Deutsche Terminologie des Bergbau- und Hüttenwesens im Mittelalter und der frühen Neuzeit
Kerstin Lindemann (Autor:in),Seminararbeit,2001,"2,0",Carl von Ossietzky Universität Oldenburg,9783640036240,de,https://www.hausarbeiten.de/document/105328,42,42 von 42 Seiten X- nach oben,Kostenlos,630,Germanistik - Sonstiges, Hörspiele Ulrich Horstmann ,69256,Hörspiele von Ulrich Horstmann
Saskia Kistner (Autor:in),Hausarbeit (Hauptseminar),2001,"2,5",Pädagogische Hochschule Freiburg im Breisgau,9783640036356,de,https://www.hausarbeiten.de/document/105340,11,11 von 11 Seiten X- nach oben,Kostenlos,1052,Germanistik - Neuere Deutsche Literatur, Adele Ottilie Frauen Romans Lotte Weimar Mann ,16919,"Adele und Ottilie - zwei Frauen des Romans ""Lotte in Weimar"" von Th. Mann"
Achim Zolke (Autor:in),Hausarbeit,2000,2+,Heinrich-Heine-Universität Düsseldorf,9783640035694,de,https://www.hausarbeiten.de/document/105272,22,22 von 22 Seiten X- nach oben,Kostenlos,1508,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Fuchsliteratur Deutschland ,44451,Fuchsliteratur in Deutschland und weltweit
Frank Amling (Autor:in),Seminararbeit,1999,none,Universität Hamburg,9783640035700,de,https://www.hausarbeiten.de/document/105273,16,15 von 16 Seiten X- nach oben,Kostenlos,2194,Germanistik - Neuere Deutsche Literatur, Position Gottfried Benns Seminar ,42222,Die Position des Überlebenden und der Überlebten in Gottfried Benns `Morgue`
Jan-Olaf Moede (Autor:in),Hausarbeit (Hauptseminar),1998,1,Freie Universität Berlin,9783640035182,de,https://www.hausarbeiten.de/document/105221,21,21 von 21 Seiten X- nach oben,Kostenlos,3935,Germanistik - Neuere Deutsche Literatur, Blutes Motiv Vampirs Hauptseminar Gewalt Lust Dabeisein Davonkommen ,39461,Die Ästhetik des Blutes im literarischen Motiv des Vampirs
Jan-Olaf Moede (Autor:in),Hausarbeit (Hauptseminar),1999,1,Freie Universität Berlin,9783640035199,de,https://www.hausarbeiten.de/document/105222,18,18 von 18 Seiten X- nach oben,Kostenlos,3090,Germanistik - Neuere Deutsche Literatur, Anna Blume Vogel Vernetzung Bild Text Werk Kurt Schwitters Hauptseminar Literatur Bildende Kunst ,48981,"""Anna Blume hat einen Vogel."" Zur Vernetzung von Bild und Text im Werk von Kurt Schwitters"
Miriam Weinert (Autor:in),Hausarbeit,2000,2,Freie Universität Berlin,9783640033126,de,https://www.hausarbeiten.de/document/105015,12,11 von 12 Seiten X- nach oben,Kostenlos,1131,Germanistik - Neuere Deutsche Literatur, Philine Wilhelm Liebespaar Figuren Grundkurs Bildungsroman ,33865,Philine und Wilhelm: Ein ideales Liebespaar od. kotroverse Figuren
Andreas Gorr (Autor:in),Seminararbeit,1999,3,Carl von Ossietzky Universität Oldenburg,9783640033546,de,https://www.hausarbeiten.de/document/105057,19,19 von 19 Seiten X- nach oben,Kostenlos,1429,Germanistik - Neuere Deutsche Literatur, Wagner Kindermoerderin Sturm Drang ,34625,Wagner: Die Kindermoerderin
Andreas Gorr (Autor:in),Referat (Ausarbeitung),1999,none,Carl von Ossietzky Universität Oldenburg,9783640033553,de,https://www.hausarbeiten.de/document/105058,16,16 von 16 Seiten X- nach oben,Kostenlos,1047,Germanistik - Linguistik, Ethnizitaet Identitaet Sturm Drang ,18285,Ethnizitaet und Identitaet
Olaf Koch (Autor:in),Seminararbeit,2001,2,Christian-Albrechts-Universität Kiel,9783640033560,de,https://www.hausarbeiten.de/document/105059,16,16 von 16 Seiten X- nach oben,Kostenlos,810,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Helmbrecht Familientragödie Helmbrecht Seminar ,44148,Der Helmbrecht als Familientragödie
Markus Braun (Autor:in),Hausarbeit,2001,"1,7",Universität Stuttgart,9783640033577,de,https://www.hausarbeiten.de/document/105060,14,14 von 14 Seiten X- nach oben,Kostenlos,132,Germanistik - Neuere Deutsche Literatur, Franz Grillparzer Jugenderinnerung Grünen Eine Interpretation Literaturtheorie ,29730,"Franz Grillparzer:""Jugenderinnerung im Grünen"" - Eine Interpretation"
Marijana Prusina (Autor:in),Hausarbeit,2001,"1,7",Universität Karlsruhe (TH),9783640033584,de,https://www.hausarbeiten.de/document/105061,11,11 von 11 Seiten X- nach oben,Kostenlos,817,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Mittelalterliches Drama Sprach- Kommunikations- Mediengeschichte ,22518,Mittelalterliches Drama als sozial-religiöses Drama
Doreen Thümmel (Autor:in),Hausarbeit,2001,gut,Universität Potsdam,9783640032891,de,https://www.hausarbeiten.de/document/104992,28,28 von 28 Seiten X- nach oben,Kostenlos,1313,Germanistik - Neuere Deutsche Literatur, Schreiben Vergessen Anna Seghers Ausflug Mädchen ,57970,"Schreiben wider das Vergessen: Anna Seghers ""Der Ausflug der toten Mädchen"""
Silvia Schulze (Autor:in),Hausarbeit,2001,"2,0",Universität Erfurt,9783640032907,de,https://www.hausarbeiten.de/document/104993,17,17 von 17 Seiten X- nach oben,Kostenlos,1157,Germanistik - Neuere Deutsche Literatur, Jungfrau Orleans Unterschiedliche Umsetzung Todes Drama Film ,35867,Die Jungfrau von Orleans - Unterschiedliche Umsetzung eines Todes in Drama und Film
Soetkin Meertens (Autor:in),Seminararbeit,2001,2+,Freie Universität Berlin,9783640032914,de,https://www.hausarbeiten.de/document/104994,19,19 von 19 Seiten X- nach oben,Kostenlos,2254,Germanistik - Sonstiges, Deutsch-Deutsche Entfremdung Probleme Inneren Vereinigung ,43030,Deutsch-Deutsche Entfremdung und Probleme der Inneren Vereinigung
Soetkin Meertens (Autor:in),Hausarbeit,2001,"1,7",Humboldt-Universität zu Berlin,9783640032921,de,https://www.hausarbeiten.de/document/104995,19,19 von 19 Seiten X- nach oben,Kostenlos,2499,Germanistik - Neuere Deutsche Literatur, Lyrik Wende Gunter Kunert Nachtvorstellung Mein Golem ,34560,"Lyrik nach der Wende: Gunter Kunert ""Nachtvorstellung"" und ""Mein Golem"""
Andreas Gorr (Autor:in),Seminararbeit,2001,gut,Carl von Ossietzky Universität Oldenburg,9783640032266,de,https://www.hausarbeiten.de/document/104926,20,20 von 20 Seiten X- nach oben,Kostenlos,1305,Germanistik - Neuere Deutsche Literatur, Skandal Reigen ,33125,Der Skandal um den Reigen
Charlotte Bengler (Autor:in),Hausarbeit,2000,gut,Freie Universität Berlin,9783640032273,de,https://www.hausarbeiten.de/document/104927,18,18 von 18 Seiten X- nach oben,Kostenlos,385,Germanistik - Linguistik, Untersuchung Rückmeldeverhalten Alltagsgespräch ,21038,Untersuchung von Rückmeldeverhalten in einem Alltagsgespräch
Michael Freimuth (Autor:in),Seminararbeit,2001,2.7,Universität Erfurt,9783640032280,de,https://www.hausarbeiten.de/document/104928,15,14 von 15 Seiten X- nach oben,Kostenlos,225,Germanistik - Neuere Deutsche Literatur, Dualismusprinzip Anwendung Grund Vergnügens Gegenständen Bezug Friedrich Schillers Kabale Liebe Ganz Weibliche Leiche Drama ,29005,"Das Dualismusprinzip sowie die Anwendung von ""Über den Grund des Vergnügens an tragischen Gegenständen"" in Bezug auf Friedrich Schillers ""Kabale und Liebe"""
Torsten Bewernitz (Autor:in),Skript,2001,none,Westfälische Wilhelms-Universität Münster,9783640031535,de,https://www.hausarbeiten.de/document/104848,8,7 von 8 Seiten X- nach oben,Kostenlos,2247,Germanistik - Neuere Deutsche Literatur, dokumentarisches Theater Literatur zum Holocaust Adorno Peter Weiss ,18831,"Die Verhandlungen - Das dokumentarische Theater ""nach Auschwitz"": Peter Weiss` ""Die Ermittlung"""
Torsten Bewernitz (Autor:in),Skript,2001,none,Westfälische Wilhelms-Universität Münster,9783640031542,de,https://www.hausarbeiten.de/document/104849,7,7 von 7 Seiten X- nach oben,Kostenlos,1554,Germanistik - Neuere Deutsche Literatur, Kafka Literatur zum Holocaust Adorno ,15458,"Franz Kafkas ""In der Strafkolonie"" gelesen unter den Nachzeichen der nationalsozialistischen Vernichtungspolitik"
Gabriella Pályi (Autor:in),Hausarbeit,2000,sehr gut,none,9783640031559,de,https://www.hausarbeiten.de/document/104850,15,15 von 15 Seiten X- nach oben,Kostenlos,742,Germanistik - Neuere Deutsche Literatur, Erscheinung Grotesken Tragikomödie Friedrich Dürrenmatt Besuch Dame Proseminar Lesen Texte ,27465,Die Erscheinung des Grotesken in der Tragikomödie von Friedrich Dürrenmatt: Der Besuch der alten Dame
Sascha Poser (Autor:in),Seminararbeit,2000,"2,0",Universität Leipzig,9783640031580,de,https://www.hausarbeiten.de/document/104853,12,12 von 12 Seiten X- nach oben,Kostenlos,173,Germanistik - Neuere Deutsche Literatur, Gedichtinterpretation Hans Magnus Enzensberger Seminar ,20402,"Gedichtinterpretation Hans Magnus Enzensberger ""ehre sei der sellerie"", ""das ende der eulen"""
Olivia Groß (Autor:in),Seminararbeit,2001,none,Gottfried Wilhelm Leibniz Universität Hannover,9783640029853,de,https://www.hausarbeiten.de/document/104670,71,71 von 71 Seiten X- nach oben,Kostenlos,2423,Germanistik - Linguistik, Kommunikation Talkshows Drei Genres Vergleich Forschungslernseminar Linguistische Medienanalyse ,137882,Kommunikation in Talkshows - Drei Genres im Vergleich
Dirk Puehl (Autor:in),Hausarbeit (Hauptseminar),1995,1,none,9783640027965,de,https://www.hausarbeiten.de/document/104461,12,12 von 12 Seiten X- nach oben,Kostenlos,1382,Germanistik - Neuere Deutsche Literatur, Nietzsche Freud Hauptseminar Nietzsches Rezeption Expressionismus ,38542,Nietzsche und Freud
Julia Hommrich (Autor:in),Seminararbeit,1998,2,Rheinische Friedrich-Wilhelms-Universität Bonn,9783640027972,de,https://www.hausarbeiten.de/document/104462,16,15 von 16 Seiten X- nach oben,Kostenlos,943,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Einhorn Physiologus Buch Natur Konrad Megenberg Proseminar Tier Literatur ,27945,"Das Einhorn im Physiologus und im ""Buch der Natur"" von Konrad von Megenberg"
Daniela Hadwiger (Autor:in),Seminararbeit,2001,"1,5",none,9783640027996,de,https://www.hausarbeiten.de/document/104464,29,29 von 29 Seiten X- nach oben,Kostenlos,762,Germanistik - Linguistik, Duzen Siezen ,52857,Das Duzen und Siezen
Denzler Claudius (Autor:in),Seminararbeit,2001,none,Rheinische Friedrich-Wilhelms-Universität Bonn,9783640028016,de,https://www.hausarbeiten.de/document/104466,10,10 von 10 Seiten X- nach oben,Kostenlos,795,Germanistik - Neuere Deutsche Literatur, Digression Arabeske Seminar ,22052,Digression und Arabeske
Kris Peterssen (Autor:in),Hausarbeit,2001,none,none,9783640027163,de,https://www.hausarbeiten.de/document/104372,26,26 von 26 Seiten X- nach oben,Kostenlos,18204,Germanistik - Neuere Deutsche Literatur, Briefwechsel Fontane Friedlaender ,69716,Briefwechsel Fontane - Friedlaender
Sarah Dickel (Autor:in),Seminararbeit,2000,"1,3",Universität Lüneburg,9783640027187,de,https://www.hausarbeiten.de/document/104374,34,34 von 34 Seiten X- nach oben,Kostenlos,845,Germanistik - Linguistik, Methoden Stiluntersuchung Stilistik ,63579,Methoden der Stiluntersuchung
Inga Schröder (Autor:in),Hausarbeit,2001,1,Westfälische Wilhelms-Universität Münster,9783640027217,de,https://www.hausarbeiten.de/document/104377,19,19 von 19 Seiten X- nach oben,Kostenlos,3525,Germanistik - Neuere Deutsche Literatur, Sprache Subjektkonstitution Utopie Christa Wolfs Erzählungen Kein Nirgends Kassandra ,46749,"Sprache, Subjektkonstitution und Utopie in Christa Wolfs Erzählungen ""Kein Ort. Nirgends"" und ""Kassandra""."
Christian Baars (Autor:in),Hausarbeit,1999,1,Universität Hamburg,9783640027262,de,https://www.hausarbeiten.de/document/104382,24,24 von 24 Seiten X- nach oben,Kostenlos,3790,Germanistik - Linguistik, Sprachdifferenzierung Kindheit Input ,41502,Sprachdifferenzierung von fruehester Kindheit bei gemischtsprachlichem Input
Christian Baars (Autor:in),Hausarbeit,2001,"1,7",Universität Hamburg,9783640027279,de,https://www.hausarbeiten.de/document/104383,21,21 von 21 Seiten X- nach oben,Kostenlos,6703,Germanistik - Linguistik, Auftauchen INFL Erwerb Subjektsklitika Wolof-Franzoesischen Kind ,34447,Das Auftauchen von INFL. Der Erwerb von Subjektsklitika bei einem bilingual Wolof-Franzoesischen Kind
Christian Baars (Autor:in),Hausarbeit,2001,none,Universität Hamburg,9783640027286,de,https://www.hausarbeiten.de/document/104384,25,24 von 25 Seiten X- nach oben,Kostenlos,2226,Germanistik - Linguistik, Syntaktische Beschraenkungen Codeswitching Wolof Franzoesisch Senegal ,40411,Syntaktische Beschraenkungen beim Codeswitching zwischen Wolof und Franzoesisch im Senegal
Silke Haydn (Autor:in),Ausarbeitung,2001,1-2,Ludwig-Maximilians-Universität München,9783640024100,de,https://www.hausarbeiten.de/document/104035,4,4 von 4 Seiten X- nach oben,Kostenlos,207,Germanistik - Linguistik, Sprechakte Austin ,6297,Sprechakte nach Austin
Alexander von Nell (Autor:in),Hausarbeit,2001,none,none,9783640024117,de,https://www.hausarbeiten.de/document/104036,18,17 von 18 Seiten X- nach oben,Kostenlos,3460,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Bulle Kaiser Karls ,32961,Die goldene Bulle Kaiser Karls IV
Alexander von Nell (Autor:in),Hausarbeit,2001,none,none,9783640024124,de,https://www.hausarbeiten.de/document/104037,14,14 von 14 Seiten X- nach oben,Kostenlos,2550,Germanistik - Neuere Deutsche Literatur, Rilkes Stundenbuch ,30848,Rilkes Stundenbuch
Alexander von Nell (Autor:in),Hausarbeit,2001,none,none,9783640024131,de,https://www.hausarbeiten.de/document/104038,16,15 von 16 Seiten X- nach oben,Kostenlos,1460,Germanistik - Neuere Deutsche Literatur, Lessings Fabeln ,41822,Lessings Fabeln
Kersten Knörzer (Autor:in),Hausarbeit,2001,1,Humboldt-Universität zu Berlin,9783640024155,de,https://www.hausarbeiten.de/document/104040,9,9 von 9 Seiten X- nach oben,Kostenlos,869,Germanistik - Linguistik, Stereotypen Interkulturelle Wirtschaftskommunikation ,18171,Stereotypen und Interkulturelle Wirtschaftskommunikation
Isis Keller (Autor:in),Seminararbeit,1997,none,Heinrich-Heine-Universität Düsseldorf,9783640024162,de,https://www.hausarbeiten.de/document/104041,17,17 von 17 Seiten X- nach oben,Kostenlos,506,Germanistik - Linguistik, Deskriptive Bedeutung Einführung Semantik ,13957,"Deskriptive, soziale und expressive Bedeutung"
Isis Keller (Autor:in),Hausarbeit (Hauptseminar),2001,none,none,9783640024179,de,https://www.hausarbeiten.de/document/104042,28,28 von 28 Seiten X- nach oben,Kostenlos,757,Germanistik - Linguistik, Sprechen Handeln Sprechakttheorie ,28675,Sprechen ist Handeln: Die Sprechakttheorie
Natalie Taepel (Autor:in),Seminararbeit,1999,none,Europa-Universität Flensburg (ehem. Universität Flensburg),9783640025046,de,https://www.hausarbeiten.de/document/104135,23,23 von 23 Seiten X- nach oben,Kostenlos,428,Germanistik - Neuere Deutsche Literatur, Eckstein Ernst Gesammelte Schulhumoresken Bild Lehrern Schülern Vergleich Heinrich Spoerls Feuerzangenbowle Seminar ,40447,"Eckstein, Ernst - Gesammelte Schulhumoresken - Das Bild von Lehrern und Schülern im Vergleich zu Heinrich Spoerls ""Feuerzangenbowle"""
Jörg Sauskat (Autor:in),Hausarbeit (Hauptseminar),1999,"1,0",Universität Rostock,9783640021253,de,https://www.hausarbeiten.de/document/103748,17,17 von 17 Seiten X- nach oben,Kostenlos,1376,Germanistik - Neuere Deutsche Literatur, Meine Gedanken Wunden Gehirn Heiner Müller Motiv Scheiterns Heiner Müller Hamletmaschine Hamlet ,29291,"""Meine Gedanken sind Wunden in meinem Gehirn"": Heiner Müller und das Motiv des Scheiterns"
Jörg Sauskat (Autor:in),Seminararbeit,1996,"1,0",Universität Rostock,9783640021260,de,https://www.hausarbeiten.de/document/103749,15,15 von 15 Seiten X- nach oben,Kostenlos,1152,Germanistik - Neuere Deutsche Literatur, Lenz Rezeption Jahrhundert Einfluß Goethes Wahrheit“ Literaturleichen Jakob Michael Reinhold Lenz Aufklärer Gegenaufklärer Gescheiterter ,29917,Lenz - Rezeption im 19. Jahrhundert und der Einfluß von Goethes „Dichtung und Wahrheit“
Andrea Weinmann (Autor:in),Seminararbeit,2001,"2,7",Johann Wolfgang Goethe-Universität Frankfurt am Main,9783640021277,de,https://www.hausarbeiten.de/document/103750,24,24 von 24 Seiten X- nach oben,Kostenlos,1443,Germanistik - Neuere Deutsche Literatur, Arthur Schnitzler Adele Sandrock ,44208,Arthur Schnitzler und Adele Sandrock
Turan Gizbili (Autor:in),Seminararbeit,2001,none,Universität Duisburg-Essen,9783640021307,de,https://www.hausarbeiten.de/document/103753,12,11 von 12 Seiten X- nach oben,Kostenlos,503,Germanistik - Neuere Deutsche Literatur, Ethnische Wurzeln Elias Canettis Autobiographisches Schreiben ,23534,Ethnische und sprachliche Wurzeln Elias Canettis
anonymous,Hausarbeit (Hauptseminar),2000,"1,0",Universität Mannheim,9783640021314,de,https://www.hausarbeiten.de/document/103754,22,22 von 22 Seiten X- nach oben,Kostenlos,1516,Germanistik - Neuere Deutsche Literatur, Untersuchungen Wiederkehr Gewaltdarstellung Zeitalter Expressionismus Beispiel Georg Heym Beckmann Hauptseminar ,47535,Untersuchungen zur Wiederkehr von Gewaltdarstellung im Zeitalter des frühen Expressionismus am Beispiel von Georg Heym und Max Beckmann
Nicole Bröde (Autor:in),Seminararbeit,2001,2,Universität Rostock,9783640021321,de,https://www.hausarbeiten.de/document/103755,27,27 von 27 Seiten X- nach oben,Kostenlos,1877,Germanistik - Neuere Deutsche Literatur, Strukturuntersuchung Robert Walsers Kurzprosa Doktor Franz Blei Grundkurs Einführung Interpretation ,45532,"Strukturuntersuchung von Robert Walsers Kurzprosa ""Doktor Franz Blei"""
Andrea Weinmann (Autor:in),Hausarbeit,2001,2,Humboldt-Universität zu Berlin,9783640021338,de,https://www.hausarbeiten.de/document/103756,12,12 von 12 Seiten X- nach oben,Kostenlos,1874,Germanistik - Linguistik, Einfluß Comicsprache Alltagssprache Deutschen ,22676,Die Art und der Einfluß von Comicsprache auf die Alltagssprache des Deutschen
Diana Giurgiu (Autor:in),Seminararbeit,2001,3+,Ludwig-Maximilians-Universität München,9783640021369,de,https://www.hausarbeiten.de/document/103759,14,14 von 14 Seiten X- nach oben,Kostenlos,1327,Germanistik - Neuere Deutsche Literatur, Psychogramm Dichters Lenz Sozialkritik Büchners Erzählung Lenz Proseminar Büchner ,37842,"Ein Psychogramm des Dichters Lenz & Sozialkritik in Büchners Erzählung ""Lenz"""
Gabriel Dorta Méndez (Autor:in),Hausarbeit (Hauptseminar),1999,1,Albert-Ludwigs-Universität Freiburg,9783640017751,de,https://www.hausarbeiten.de/document/103397,31,30 von 31 Seiten X- nach oben,Kostenlos,3879,"Germanistik - Semiotik, Pragmatik, Semantik", Computer Internet Deutsch Sprachkritische Einfluß Medien Sprache Sprachkritik Sprachgebrauch Bundesrepublik Deutschland ,82836,"Computer, Internet und Deutsch. Sprachkritische Äußerungen über den Einfluß der neuen Medien auf die deutsche Sprache"
Klaus Esterluß (Autor:in),Hausarbeit,1998,mit Erfolg,Universität Potsdam,9783640017768,de,https://www.hausarbeiten.de/document/103398,8,7 von 8 Seiten X- nach oben,Kostenlos,839,Germanistik - Neuere Deutsche Literatur, Johannes Bobrowski Tänzer Malige Lyrik Prosa Johannes Bobrowskis Prof Helmut John ,12200,Johannes Bobrowski - Der Tänzer Malige
Uta Hotze (Autor:in),Seminararbeit,1996,"2,0",Universität Potsdam,9783640017782,de,https://www.hausarbeiten.de/document/103400,17,17 von 17 Seiten X- nach oben,Kostenlos,548,Germanistik - Neuere Deutsche Literatur, Annette Droste-Hülshoff Biographie Judenbuche ,27369,Annette von Droste-Hülshoff - Biographie - Die Judenbuche
Nadin Mau (Autor:in),Hausarbeit,2000,2,Freie Universität Berlin,9783640017799,de,https://www.hausarbeiten.de/document/103401,14,14 von 14 Seiten X- nach oben,Kostenlos,1051,Germanistik - Neuere Deutsche Literatur, Todesmotiv Arthur Schnitzlers Fräulien Else ,27718,"Das Todesmotiv in Arthur Schnitzlers ""Fräulien Else"""
